amostra;site;latitude;longitude;data;especies;sepal_length_cm;sepl_width_cm;petal_length_cm;petal_width_cm
A45;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;5.1;3.8;1.9;0.4
A46;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;4.8;3;1.4;0.3
A47;site2;48,540502;-64,766512;13_02_1930;iris_setosa;5.1;3.8;1.6;0.2
A48;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;4.6;3.2;1.4;0.2
A49;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;5.3;3.7;1.5;0.2
A5;Site2;48,540502;-64,766512;13_02_1930;iris_setosa;5;3.6;1.4;0.2
A50;site2;48,540502;-64,766512;15_02_1930;iris_setosa;5;3.3;1.4;0.2
A51;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;7;3.2;4.7;1.4
A52;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.4;3.2;4.5;1.5
A53;site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.9;3.1;4.9;1.5
A54;site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.5;2.3;4;1.3
A55;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.5;2.8;4.6;1.5
A56;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.7;2.8;4.5;1.3
A57;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.3;3.3;4.7;1.6
A58;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;4.9;2.4;3.3;1
A59;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.6;2.9;4.6;1.3
A60;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.2;2.7;3.9;1.4
A61;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5;2;3.5;1
A62;site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.9;3;4.2;1.5
A63;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6;2.2;4;1
A64;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.1;2.9;4.7;1.4
A65;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.6;2.9;3.6;1.3
A66;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.7;3.1;4.4;1.4
A67;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.6;3;4.5;1.5
A68;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.8;2.7;4.1;1
A69;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.2;2.2;4.5;1.5
A7;site3;48,329837;-65,512333;05_12_1929;iris_setosa;4.6;3.4;1.4;0.3
A70;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.6;2.5;3.9;1.1
A71;site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.9;3.2;4.8;1.8
A72;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.1;2.8;4;1.3
A73;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.3;2.5;4.9;1.5
A74;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.1;2.8;4.7;1.2
A75;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.4;2.9;4.3;1.3
A76;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.6;3;4.4;1.4
A77;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.8;2.8;4.8;1.4
A78;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.7;3;5;1.7
A79;site3;49329837;-65,512333;01_12_1929;iris_versicolor;6;2.9;4.5;1.5
A80;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.7;2.6;3.5;1
A81;site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.5;2.4;3.8;1.1
A82;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.5;2.4;3.7;1
A83;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.8;2.7;3.9;1.2
A84;site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6;2.7;5.1;1.6
A85;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.4;3;4.5;1.5
A86;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6;3.4;4.5;1.6
A87;site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.7;3.1;4.7;1.5
A88;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.3;2.3;4.4;1.3
A89;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.6;3;4.1;1.3
A90;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.5;2.5;4;1.3
A91;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.5;2.6;4.4;1.2
A92;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.1;3;4.6;1.4
A93;site1;48, 935966;-64,840984;01_12_1929;iris_versicolor;5.8;2.6;4;1.2
A94;site3;48,329837;-65,512333;05_12_1929;iris_versicolor;5;2.3;3.3;1
A95;site2;48, 540502;-64,788512;13_02_1930;iris_versicolor;5.6;2.7;4.2;1.3
A96;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.7;3;4.2;1.2
A97;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.7;2.9;4.2;1.3
A98;site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.2;2.9;4.3;1.3
A99;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.1;2.5;3;1.1
